anomaly_type,severity,purchase_number,category,metric,amount_rub,description
cancelled_procedure,medium,100315525,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,22932854,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,13519017,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,38073278,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,115829747,logistics_and_facilities,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,36133762,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,4516591,other,,2793.9,Procedure status contains a cancellation signal.
cancelled_procedure,medium,123499159,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,67763146,other,,1400.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,73106080,other,,356274.8,Procedure status contains a cancellation signal.
cancelled_procedure,medium,54648946,other,,5700.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,111079755,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,30886000,other,,4500.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,131170771,it_and_telecom,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,114302465,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,20538534,other,,990.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,108084986,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,34816235,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,96247781,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,58153483,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,127761862,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,131659779,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,129875235,it_and_telecom,,7500000.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,101660843,other,,228500.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,40767046,it_and_telecom,,251882.5,Procedure status contains a cancellation signal.
cancelled_procedure,medium,1200700144924000001,audit_and_assurance,,1199767.67,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR003-240017162400005.1,it_and_telecom,,,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2512260035.1,other,,2700000.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,61766983,it_and_telecom,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2512240153.1,it_and_telecom,,1100000.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,65763034,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2512170026.1,other,,,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2512170024.1,professional_services,,,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2512170023.1,other,,,Procedure status contains a cancellation signal.
cancelled_procedure,medium,51721840,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,40235310,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,71577521,logistics_and_facilities,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,91242591,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,29052102,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,110273569,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2512040038.1,other,,,Procedure status contains a cancellation signal.
cancelled_procedure,medium,89312452,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,89013296,logistics_and_facilities,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,63880356,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,123982117,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,14908003,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,4816981,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,124140714,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,34055912,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,68374670,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,132541912,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,106537266,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,69051443,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,66232438,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,96883284,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,19493926,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,37011233,construction_and_repair,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,34546518,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,52743492,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,78822099,construction_and_repair,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,129633152,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,78045695,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,105396425,construction_and_repair,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,13288735,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,27409530,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,70185760,construction_and_repair,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,111712046,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,108109639,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,93010036,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,101047426,construction_and_repair,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,36010991,construction_and_repair,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,115886327,construction_and_repair,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2509250012.1,other,,2761000.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2509250011.1,other,,2971000.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2509250009.1,other,,2631000.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,85864545,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,76042099,construction_and_repair,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,103850582,construction_and_repair,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,89822917,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,30935314,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,129079150,construction_and_repair,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,82097367,professional_services,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2509180047.1,it_and_telecom,,,Procedure status contains a cancellation signal.
cancelled_procedure,medium,115602042,professional_services,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,63861326,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,118811828,it_and_telecom,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,114417355,professional_services,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,32143088,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,103903124,it_and_telecom,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2508280013.1,other,,13944000.0,Procedure status contains a cancellation signal.
